fullVisitorId,type,date,visitnumber,visitstarttime,session_duration,country,channel,campaign,keyword,source,medium,device,currency,sale_type,navBar_chat_icon,started_chat,navBar_our_cars,navBar_open_menu,clicked_in_menu,signed_in,cdp_back_link,cdp_floating_cta,cdp_view_all_features,cdp_expand_accordion,cdp_semiConductor_info,cdp_main_cta,cdp_customise_car,cdp_footer_info,cdp_request_callback
3957294421914786147,order_submit,2022-01-19,27,1642587491,11,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-20,35,1642693389,6,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-21,43,1642780109,2931,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-21,44,1642783085,694,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-22,47,1642854160,28,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-22,48,1642871942,199,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-25,51,1643114869,3021,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-27,56,1643298641,1976,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-27,57,1643305267,524,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-27,54,1643284283,796,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3957294421914786147,order_submit,2022-01-28,58,1643364430,6932,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
3957294421914786147,order_submit,2022-01-28,59,1643376093,2284,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
3957294421914786147,order_submit,2022-02-01,65,1643707458,416,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-01,66,1643709927,1605,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1293586714613095034,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413780073016550741,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601071433447499703,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780961774953939510,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062741715776697889,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242644715914015139,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655091596545706996,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040700752594833457,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704951134591513887,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793843000514835143,cc,2022-06-18,1,1655567047,339,United Kingdom,Paid Search,volvo_uk_masterbrand_rng_cat_brd_alon_mxd_eng_pure-brand,volvo,google,cpc,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4962593412330917840,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5344823172127199266,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370852197012611147,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411599986268827576,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150822386751449571,clp,2022-05-14,1,1652500962,87,United Kingdom,Display,dv360_uk_cbv_always-on_prospecting_display,(not set),campaign-manager,display,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1597076443844543490,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276137367746010816,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485739184937423521,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547417260360729833,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2846659576175085133,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325053812492183062,clp,2022-05-14,2,1652511222,340,United Kingdom,Organic Search,(not set),(not provided),google,organic,mobile,gbp,subscription,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3307111316195329016,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498974927011188052,clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522893685781926433,clp,2022-05-14,1,1652527651,360,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3522893685781926433,clp,2022-05-14,3,1652543084,,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220772812680739938,cdp,2022-06-18,1,1655585892,173,United Kingdom,Organic Search,(not set),(not provided),google,organic,mobile,gbp,subscription,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3429506635614326234,cdp,2022-06-18,2,1655543185,107,United Kingdom,Paid Search,cbv_uk_prospecting_discovery,(not set),google,display,mobile,gbp,subscription,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3620887839998330461,cdp,2022-06-18,3,1655578085,446,United Kingdom,Organic Search,(not set),(not provided),google,organic,mobile,gbp,subscription,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4503576126964607178,cdp,2022-06-18,3,1655553835,4,United Kingdom,Paid Search,volvo_uk_nameplate_c40_cat_npl_alon_mxd_eng,volvo c40,google,cpc,mobile,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
